id,description,nom,type
3,"Le parfum de sa fleur se fait plus
pénétrant les lendemains de pluie.
Cela appâte les autres Pokémon.",Florizarre,Pokémon Graine
3,"Ses pétales lui servent à capter la lumière du soleil.
Il peut ainsi en canaliser l’énergie.",Florizarre,Pokémon Graine
3,"Le parfum de sa fleur se fait plus pénétrant les
lendemains de pluie. Cela appâte les autres Pokémon.",Florizarre,Pokémon Graine
3,"Une belle fleur se trouve sur le dos de Florizarre.
Elle prend une couleur vive lorsqu’elle est bien nourrie et bien
ensoleillée. Le parfum de cette fleur peut apaiser les gens.",Florizarre,Pokémon Graine
3,"Les pétales de sa fleur dorsale absorbent les
rayons du soleil pour les convertir en énergie.",Florizarre,Pokémon Graine
3,"Sa plante donne une grosse fleur quand
elle absorbe les rayons du soleil. Il est toujours
à la recherche des endroits les plus ensoleillés.",Florizarre,Pokémon Graine
3,"Une douce senteur émane de sa plante.
Cette fragrance calme tous ceux qui sont
engagés dans un combat.",Florizarre,Pokémon Graine
4,"La flamme de sa queue symbolise sa
vitalité. Elle est intense quand il
est en bonne santé.",Salamèche,Pokémon Lézard
4,"La flamme sur sa queue représente l’énergie vitale
de Salamèche. Quand il est vigoureux, elle brûle plus
fort.",Salamèche,Pokémon Lézard
4,"Depuis sa naissance, une petite flamme brûle au bout
de sa queue. Si cette flamme s’éteint, la vie de ce
Pokémon s’éteindra elle aussi.",Salamèche,Pokémon Lézard
4,"La flamme qui brûle au bout de sa queue indique l’humeur
de ce Pokémon. Elle vacille lorsque Salamèche est content.
En revanche, lorsqu’il s’énerve, la flamme prend
de l’importance et brûle plus ardemment.",Salamèche,Pokémon Lézard
4,"La flammèche au bout de sa queue émet
un crépitement audible seulement dans
les endroits calmes.",Salamèche,Pokémon Lézard
4,"Il préfère ce qui est chaud.
En cas de pluie, de la vapeur se forme autour
de sa queue.",Salamèche,Pokémon Lézard
4,"Depuis sa naissance, une petite flamme brûle
au bout de sa queue. Si cette flamme s’éteint,
la vie de ce Pokémon s’éteindra elle aussi.",Salamèche,Pokémon Lézard
5,"La nuit, la queue ardente du Reptincel
brille comme une étoile dans son
repaire montagneux.",Reptincel,Pokémon Flamme
5,"Il se sert de sa queue pour faire tomber ses
adversaires. Une fois qu’ils sont au sol, il les lacère
de ses griffes acérées.",Reptincel,Pokémon Flamme
5,"En agitant sa queue, il peut élever la température à
un niveau incroyable.",Reptincel,Pokémon Flamme
5,"Reptincel lacère ses ennemis sans pitié grâce à ses griffes
acérées. S’il rencontre un ennemi puissant, il devient agressif
et la flamme au bout de sa queue s’embrase et prend
une couleur bleu clair.",Reptincel,Pokémon Flamme
5,"Exalté quand il affronte des adversaires
puissants, ce Pokémon en vient parfois
à cracher des flammes bleutées.",Reptincel,Pokémon Flamme
5,"Il est très brutal. En combat, il se sert de
ses griffes acérées et de sa queue enflammée
pour mettre en pièces ses adversaires.",Reptincel,Pokémon Flamme
5,"S’il s’excite pendant un combat, il crache
de grandes flammes, brûlant tout ce qui
se trouve aux alentours.",Reptincel,Pokémon Flamme
6,"On raconte que la flamme du
Dracaufeu s’intensifie après
un combat difficile.",Dracaufeu,Pokémon Flamme
6,"Quand il crache son souffle brûlant, la flamme au bout
de sa queue s’embrase.",Dracaufeu,Pokémon Flamme
6,"Ses ailes peuvent le faire voler à plus de 1 400 m
d’altitude. Ce Pokémon crache du feu à des
températures très élevées.",Dracaufeu,Pokémon Flamme
6,"Dracaufeu parcourt les cieux pour trouver des adversaires
à sa mesure. Il crache de puissantes flammes capables de
faire fondre n’importe quoi. Mais il ne dirige jamais son souffle
destructeur vers un ennemi plus faible.",Dracaufeu,Pokémon Flamme
6,"Quand il crache son souffle brûlant, la flamme
au bout de sa queue s’embrase.",Dracaufeu,Pokémon Flamme
6,"Son souffle brûlant peut faire fondre la roche.
Il est parfois la cause d’incendies de forêt.",Dracaufeu,Pokémon Flamme
6,"Ses ailes lui permettent de voler à plus de
1 400 m d’altitude. Ce Pokémon crache du feu
à des températures très élevées.",Dracaufeu,Pokémon Flamme
7,"Il se réfugie dans sa carapace
et réplique en éclaboussant
l’ennemi à la première occasion.",Carapuce,Pokémon Minitortue
7,"Il se réfugie dans sa carapace et réplique en
éclaboussant l’ennemi à la première occasion.",Carapuce,Pokémon Minitortue
7,"Caché sous l’eau, il crache un jet d’eau sur sa proie
et se cache à l’intérieur de sa carapace.",Carapuce,Pokémon Minitortue
7,"La carapace de Carapuce ne sert pas qu’à le protéger.
La forme ronde de sa carapace et ses rainures lui permettent
d’améliorer son hydrodynamisme.
Ce Pokémon nage extrêmement vite.",Carapuce,Pokémon Minitortue
7,"Caché sous les flots, il crache un jet d’eau sur
sa proie et se réfugie à l’intérieur de sa carapace
en cas de danger.",Carapuce,Pokémon Minitortue
7,"Quand il rentre son cou dans sa carapace,
il peut projeter de l’eau à haute pression.",Carapuce,Pokémon Minitortue
7,"S’il se sent menacé, il rétracte ses pattes dans
sa carapace pour se protéger et crache de l’eau.",Carapuce,Pokémon Minitortue
8,"On prétend qu’il vit 10 000 ans.
Sa queue duveteuse est un
symbole de longévité populaire.",Carabaffe,Pokémon Tortue
8,"Attaqué, il cache sa tête dans sa carapace, mais
son corps trop gros ne peut y tenir en entier.",Carabaffe,Pokémon Tortue
8,"On prétend qu’il vit 10 000 ans. Sa queue duveteuse
est un symbole de longévité populaire.",Carabaffe,Pokémon Tortue
8,"Carabaffe a une large queue recouverte d’une épaisse
fourrure. Elle devient de plus en plus foncée avec l’âge.
Les éraflures sur la carapace de ce Pokémon témoignent
de son expérience au combat.",Carabaffe,Pokémon Tortue
8,"Quand on lui tapote la tête, il se cache dans
sa carapace, mais son corps ne peut pas y tenir
en entier.",Carabaffe,Pokémon Tortue
8,"Il est considéré comme un symbole de longévité.
On reconnaît les spécimens les plus âgés
à la mousse qui pousse sur leur carapace.",Carabaffe,Pokémon Tortue
8,"Il se sert habilement de sa queue et de ses
oreilles touffues pour garder son équilibre
sous l’eau.",Carabaffe,Pokémon Tortue
9,"Les trombes d’eau projetées par
les canons de sa carapace peuvent
percer le métal le plus résistant.",Tortank,Pokémon Carapace
9,"Il écrase ses adversaires de tout son poids pour leur
faire perdre connaissance. Il rentre dans sa carapace
s’il se sent en danger.",Tortank,Pokémon Carapace
9,"Ce Pokémon brutal est armé de canons hydrauliques.
Ses puissants jets d’eau sont dévastateurs.",Tortank,Pokémon Carapace
9,"Tortank dispose de canons à eau émergeant de sa carapace.
Ils sont très précis et peuvent envoyer des balles d’eau
capables de faire mouche sur une cible située à plus de 50 m.",Tortank,Pokémon Carapace
9,"Une fois sa cible dans sa ligne de mire,
il projette des jets d’eau plus puissants
qu’une lance à incendie.",Tortank,Pokémon Carapace
9,"Il écrase ses adversaires de tout son poids
pour leur faire perdre connaissance.
Il rentre dans sa carapace s’il se sent en danger.",Tortank,Pokémon Carapace
9,"Les canons sur sa carapace tirent des jets d’eau
capables de percer même de l’acier trempé.",Tortank,Pokémon Carapace
10,"Ses antennes rouges libèrent une
puanteur qui repousse l’ennemi.
Il grandit par mues régulières.",Chenipan,Pokémon Ver
10,"Pour se protéger, il émet un gaz puant par ses
antennes, qui fait fuir ses ennemis audacieux.",Chenipan,Pokémon Ver
10,"Ses pattes ont des ventouses lui permettant de
grimper sur toute surface, notamment les arbres.",Chenipan,Pokémon Ver
10,"Chenipan a un appétit d’ogre. Il peut engloutir des feuilles
plus grosses que lui. Les antennes de ce Pokémon dégagent
une odeur particulièrement entêtante.",Chenipan,Pokémon Ver
10,"Lorsqu’il est attaqué par un Pokémon Vol,
il utilise ses antennes pour dégager une odeur
nauséabonde, mais cela le sauve rarement.",Chenipan,Pokémon Ver
10,"Un Pokémon facile à attraper et qui croît
rapidement. C’est l’un des partenaires
privilégiés des Dresseurs débutants.",Chenipan,Pokémon Ver
10,"C’est peut-être parce qu’il a envie de grandir
le plus vite possible qu’il est si vorace.
Il engloutit une centaine de feuilles par jour.",Chenipan,Pokémon Ver
10,"Son corps est mou et sans force.
La nature semble l’avoir destiné à servir
de proie aux autres Pokémon.",Chenipan,Pokémon Ver
10,"Quand on touche l’appendice sur son front,
il sécrète une odeur nauséabonde pour se
protéger.",Chenipan,Pokémon Ver
10,"Pour se protéger, il émet par ses antennes
une odeur nauséabonde qui fait fuir ses ennemis.",Chenipan,Pokémon Ver
10,"Ses petites pattes munies de ventouses
lui permettent de monter les pentes
et de grimper aux murs sans se fatiguer.",Chenipan,Pokémon Ver
11,"Son corps frêle est protégé par sa
carapace d’acier. Il encaisse les
coups durs en attendant d’évoluer.",Chrysacier,Pokémon Cocon
11,"Son corps frêle est protégé par sa carapace d’acier.
Il encaisse les coups durs en attendant d’évoluer.",Chrysacier,Pokémon Cocon
11,"Il est vulnérable aux attaques tant que sa carapace
est molle, car il expose son corps tendre et mou.",Chrysacier,Pokémon Cocon
11,"La carapace protégeant ce Pokémon est dure comme du
métal. Chrysacier ne bouge pas beaucoup. Il reste immobile
pour préparer les organes à l’intérieur de sa carapace en vue
d’une évolution future.",Chrysacier,Pokémon Cocon
11,"Sous sa carapace, il est tout mou et tendre.
Il bouge très peu afin de ne pas secouer son
corps encore fragile.",Chrysacier,Pokémon Cocon
11,"Même si sa carapace est solide, elle n’est guère
composée que de chitine et peut se briser
aisément. Mieux vaut éviter les combats rudes.",Chrysacier,Pokémon Cocon
11,"Sa carapace contient un liquide gluant.
Sa structure cellulaire est en cours de
modification en vue de son évolution prochaine.",Chrysacier,Pokémon Cocon
11,"Sa carapace est très solide et résiste sans
peine aux assauts des Picassaut. Si elle bascule,
par contre, son contenu s’éparpille au sol.",Chrysacier,Pokémon Cocon
11,"Il renforce sa carapace pour se protéger,
mais un coup puissant peut l’en déloger.",Chrysacier,Pokémon Cocon
11,"En attendant sa prochaine évolution, il ne peut
que durcir sa carapace et rester immobile
pour éviter de se faire attaquer.",Chrysacier,Pokémon Cocon
11,"Bien que son corps soit entouré d’une carapace
solide, l’intérieur est si mou qu’il ne résisterait
pas à une attaque violente.",Chrysacier,Pokémon Cocon
12,"Il raffole du nectar des fleurs. Il
est capable de repérer la plus
petite quantité de pollen.",Papilusion,Pokémon Papillon
12,"Il raffole du nectar des fleurs. Il est capable de
repérer la plus petite quantité de pollen.",Papilusion,Pokémon Papillon
12,"Ses ailes sont recouvertes d’une poudre les
protégeant de la pluie. Ce Pokémon peut donc voler
pendant de grosses averses.",Papilusion,Pokémon Papillon
12,"Papilusion est très doué pour repérer le délicieux nectar qu’il
butine dans les fleurs. Il peut détecter, extraire et transporter
le nectar de fleurs situées à plus de 10 km de son nid.",Papilusion,Pokémon Papillon
12,"Si l’on regarde ses grands yeux de plus près,
on remarque qu’il s’agit en réalité d’une
multitude de petits yeux réunis.",Papilusion,Pokémon Papillon
12,"Pour se défendre contre les agressions d’autres
Pokémon, il bat des ailes en éparpillant autour
de lui un nuage de poussière toxique.",Papilusion,Pokémon Papillon
12,"Lorsqu’il surprend un Pokémon oiseau attaquant
un Chenipan, il répand les écailles très toxiques
qui recouvrent ses ailes sur l’assaillant.",Papilusion,Pokémon Papillon
12,"Il raffole du nectar des plus jolies fleurs.
Dans les prairies, les luttes territoriales
l’opposant à Bombydou sont impitoyables.",Papilusion,Pokémon Papillon
12,"Ses ailes sont enduites d’une poudre toxique
imperméable lui permettant de voler sous
la pluie.",Papilusion,Pokémon Papillon
12,"En combat, il bat des ailes très rapidement pour
projeter de la poudre toxique sur ses ennemis.",Papilusion,Pokémon Papillon
12,"Il ramasse du nectar chaque jour et l’agglutine
sur les poils de ses pattes pour le transporter
jusqu’à son nid.",Papilusion,Pokémon Papillon
13,"Il mange chaque jour son poids en
feuilles. Il utilise l’aiguillon sur sa
tête pour repousser l’ennemi.",Aspicot,Pokémon Insectopic
13,"On trouve souvent ce Pokémon dans les forêts et
les hautes herbes. L’aiguillon de 5 cm sur sa tête
contient un venin très toxique.",Aspicot,Pokémon Insectopic
13,"Son aiguillon empoisonné est très dangereux.
Son corps est coloré afin de repousser ses ennemis.",Aspicot,Pokémon Insectopic
13,"L’odorat d’Aspicot est extrêmement développé. Il lui suffit de
renifler ses feuilles préférées avec son gros appendice nasal
pour les reconnaître entre mille.",Aspicot,Pokémon Insectopic
13,"L’aiguillon sur son front est très pointu.
Il se cache dans les bois et les hautes herbes,
où il se gave de feuilles.",Aspicot,Pokémon Insectopic
14,"Il se cache sous les feuilles et les
branches pour fuir les prédateurs
en attendant d’évoluer.",Coconfort,Pokémon Cocon
14,"Incapable de se déplacer de lui-même, il se défend en
durcissant sa carapace.",Coconfort,Pokémon Cocon
14,"Il se cache sous les feuilles et les branches pour fuir
les prédateurs en attendant d’évoluer.",Coconfort,Pokémon Cocon
14,"Coconfort est la plupart du temps immobile et reste
accroché à un arbre. Cependant, intérieurement, il est
très actif, car il se prépare pour sa prochaine évolution.
En touchant sa carapace, on peut sentir sa chaleur.",Coconfort,Pokémon Cocon
14,"Il peut à peine bouger. Quand il est menacé,
il sort parfois son aiguillon pour empoisonner
ses ennemis.",Coconfort,Pokémon Cocon
15,"Il virevolte rapidement autour de
l’ennemi et frappe de son dard
empoisonné avant de décamper.",Dardargnan,Pokémon Guêpoison
15,"Il se sert de ses trois aiguillons empoisonnés pour
attaquer sans relâche ses adversaires.",Dardargnan,Pokémon Guêpoison
15,"On le voit souvent voler dans un essaim. Il vole très
rapidement, piquant sans cesse ses adversaires de
son dard toxique.",Dardargnan,Pokémon Guêpoison
15,"Dardargnan est extrêmement possessif. Il vaut mieux ne pas
toucher son nid si on veut éviter d’avoir des ennuis.
Lorsqu’ils sont en colère, ces Pokémon attaquent en masse.",Dardargnan,Pokémon Guêpoison
15,"Il se sert de ses trois aiguillons empoisonnés
situés sur les pattes avant et l’abdomen pour
attaquer sans relâche ses adversaires.",Dardargnan,Pokémon Guêpoison
16,"Ce Pokémon docile préfère éviter
le combat. Toutefois, il se montre
très féroce quand on l’agresse.",Roucool,Pokémon Minoiseau
16,"On l’aperçoit souvent dans les forêts. Avec ses ailes,
il brasse l’air près du sol pour projeter du sable.",Roucool,Pokémon Minoiseau
16,"Ce Pokémon docile préfère éviter le combat.
Toutefois, il se montre très féroce quand on l’agresse.",Roucool,Pokémon Minoiseau
16,"Roucool a un excellent sens de l’orientation. Il est capable de
retrouver son nid sans jamais se tromper, même s’il est très
loin de chez lui et dans un environnement qu’il ne connaît pas.",Roucool,Pokémon Minoiseau
16,"De nature très docile, il préfère projeter
du sable pour se défendre plutôt que
contre-attaquer.",Roucool,Pokémon Minoiseau
17,"Il survole son vaste territoire en
quête d’une proie avant de fondre
sur elle toutes griffes en avant.",Roucoups,Pokémon Oiseau
17,"Grâce à ses griffes très puissantes, il est capable
de transporter des Noeunoeuf vers un nid éloigné
de plus de 100 km.",Roucoups,Pokémon Oiseau
17,"Il protège son territoire avec ardeur et repousse à
coups de bec tout intrus.",Roucoups,Pokémon Oiseau
17,"Roucoups utilise une vaste surface pour son territoire.
Ce Pokémon surveille régulièrement son espace aérien.
Si quelqu’un pénètre sur son territoire, il corrige l’ennemi
sans pitié d’un coup de ses terribles serres.",Roucoups,Pokémon Oiseau
17,"Ce Pokémon est très endurant. Il survole
en permanence son territoire pour chasser.",Roucoups,Pokémon Oiseau
18,"En battant des ailes de toutes ses
forces, Roucarnage génère une
rafale à en déraciner les arbres.",Roucarnage,Pokémon Oiseau
18,"Il survole la surface de l’eau pour repérer une proie
et plonge en piqué pour l’attraper.",Roucarnage,Pokémon Oiseau
18,"Roucarnage déploie ses ailes majestueuses pour
effrayer ses ennemis. Il peut voler à Mach 2.",Roucarnage,Pokémon Oiseau
18,"Ce Pokémon est doté d’un plumage magnifique et luisant.
Bien des Dresseurs sont captivés par la beauté fatale de
sa huppe et décident de choisir Roucarnage comme leur
Pokémon favori.",Roucarnage,Pokémon Oiseau
18,"Ce Pokémon vole à Mach 2 quand il chasse.
Ses grandes serres sont des armes redoutables.",Roucarnage,Pokémon Oiseau
19,"D’une prudence extrême, sa nature
robuste lui permet de s’adapter à
tous les terrains.",Rattata,Pokémon Souris
19,"Vivant là où se trouve la nourriture, ce charognard
passe ses journées à la rechercher.",Rattata,Pokémon Souris
19,"Les dents de Rattata sont longues et tranchantes.
Comme elles poussent sans arrêt, il doit ronger tout
ce qu’il trouve pour pouvoir les tailler.",Rattata,Pokémon Souris
19,"Rattata est extrêmement prudent. Même lorsqu’il est endormi,
il fait pivoter ses oreilles pour écouter autour de lui.
En ce qui concerne son habitat, il n’est vraiment pas difficile.
Il peut faire son nid n’importe où.",Rattata,Pokémon Souris
19,"Il doit toujours prendre soin de ses incisives
car elles poussent sans arrêt. S’il n’a rien pour
les limer, il se rabattra sur un pilier.",Rattata,Pokémon Souris
19,"Un Pokémon très résistant, capable de survivre
même dans des milieux très insalubres.
Il prolifère si l’on n’y prend pas garde.",Rattata,Pokémon Souris
19,"Ses incisives poussent tout au long de sa vie.
Si elles dépassent une certaine longueur,
il ne peut plus s’alimenter et meurt de faim.",Rattata,Pokémon Souris
19,"Prenez garde à ce Pokémon très répandu :
ses puissantes incisives sont si acérées
qu’elles peuvent couper des troncs d’arbre.",Rattata,Pokémon Souris
19,"Il peut ronger n’importe quoi avec ses
deux dents. Quand on en voit un, il y en
a certainement 40 dans le coin.",Rattata,Pokémon Souris
20,"Il grignote sans cesse pour apaiser
la poussée de ses crocs. Il peut
transpercer un mur de parpaings.",Rattatac,Pokémon Souris
20,"Il grignote sans cesse pour apaiser la poussée de ses
crocs. Il peut transpercer un mur de parpaings.",Rattatac,Pokémon Souris
20,"Ses pattes arrière lui permettent de traverser les
rivières. Il est toujours en quête de nourriture.",Rattatac,Pokémon Souris
20,"Les crocs robustes de Rattatac poussent constamment.
Pour éviter qu’ils raclent le sol, il se fait les dents sur
des cailloux ou des troncs d’arbre. Il lui arrive même
de ronger les murs des maisons.",Rattatac,Pokémon Souris
20,"C’est un très bon nageur. Les doigts de ses
pattes arrière sont palmés, ce qui lui permet de
traverser les rivières et parfois même les mers.",Rattatac,Pokémon Souris
20,"Beaucoup plus agressif qu’il n’en a l’air, mieux
vaut éviter de lui tendre la main si l’on veut la
récupérer entière.",Rattatac,Pokémon Souris
20,"Les petites palmes de ses pattes postérieures
lui permettraient de se rendre d’île en île
à la nage afin d’échapper à ses prédateurs.",Rattatac,Pokémon Souris
20,"Il se sert de ses moustaches pour garder
l’équilibre. Que le Rattatac soit apprivoisé
ou non, ne le touchez pas ou il vous mordrait !",Rattatac,Pokémon Souris
20,"Ses pattes arrière sont palmées. Il peut donc
poursuivre sa proie dans les cours d’eau et
les rivières.",Rattatac,Pokémon Souris
21,"Il fait battre vigoureusement ses
petites ailes pour voler et cherche
à manger dans l’herbe avec le bec.",Piafabec,Pokémon Minoiseau
21,"Très protecteur de son territoire, il bat vite des ailes
pour se déplacer à toute allure.",Piafabec,Pokémon Minoiseau
21,"Il chasse les insectes dans les hautes herbes.
Ses petites ailes lui permettent de voler très vite.",Piafabec,Pokémon Minoiseau
21,"Piafabec crie tellement fort qu’il peut être entendu à 1 km
de distance. Ces Pokémon se préviennent d’un danger
en entonnant une mélopée très aiguë, qu’ils se renvoient
les uns les autres, comme un écho.",Piafabec,Pokémon Minoiseau
21,"Ses petites ailes le handicapent pour voler.
Il préfère se déplacer en hâte et piquer les
Pokémon Insecte dans les hautes herbes.",Piafabec,Pokémon Minoiseau
21,"Il est doté d’un appétit insatiable.
Les fermiers assaillis par des Pokémon Insecte
prennent grand soin des Piafabec.",Piafabec,Pokémon Minoiseau
21,"Un Pokémon téméraire qui n’hésite pas
à affronter des Pokémon plus gros que lui
pour protéger son territoire.",Piafabec,Pokémon Minoiseau
21,"Ses courtes ailes ne lui permettent pas de
voler sur de longues distances. Il quadrille
son territoire pour picorer les Pokémon Insecte.",Piafabec,Pokémon Minoiseau
21,"Il est incapable de voler à haute altitude.
Il se déplace très vite pour protéger
son territoire.",Piafabec,Pokémon Minoiseau
22,"Il a assez d’énergie pour voler
toute la journée avec ses grandes
ailes. Il frappe de son bec acéré.",Rapasdepic,Pokémon Bec-Oiseau
22,"Ses ailes géantes lui permettent de voler sur de
longues distances sans qu’il ait besoin de se reposer.",Rapasdepic,Pokémon Bec-Oiseau
22,"Il a assez d’énergie pour voler toute la journée avec
ses grandes ailes. Il frappe de son bec acéré.",Rapasdepic,Pokémon Bec-Oiseau
22,"On reconnaît un Rapasdepic à son long cou et à son bec
allongé. Ces attributs lui permettent d’attraper facilement
ses proies dans la terre ou dans l’eau. Il bouge son bec
long et fin avec une grande agilité.",Rapasdepic,Pokémon Bec-Oiseau
22,"Un Pokémon robuste et extrêmement endurant.
Il est capable de voler du matin au soir tout
en transportant de lourdes charges.",Rapasdepic,Pokémon Bec-Oiseau
22,"Un Pokémon fort ancien, qui a même été identifié
sur des fresques antiques.",Rapasdepic,Pokémon Bec-Oiseau
22,"Si vous vous promenez sur le territoire d’un
Rapasdepic en transportant de la nourriture,
vous risquez de vite la voir s’envoler !",Rapasdepic,Pokémon Bec-Oiseau
22,"À Alola, il se repaît de Pokémon poissons.
On le voit souvent voler en cercle au-dessus
des flots en quête de nourriture.",Rapasdepic,Pokémon Bec-Oiseau
22,"Un Pokémon très ancien. S’il perçoit un danger,
il fuit instantanément à haute altitude.",Rapasdepic,Pokémon Bec-Oiseau
23,"Il se faufile dans l’herbe sans un
bruit et frappe dans le dos quand
sa proie s’y attend le moins.",Abo,Pokémon Serpent
23,"Plus il est âgé, plus son corps est long. Il se love
autour des arbres pour se reposer.",Abo,Pokémon Serpent
23,"Il se déplace en silence pour dévorer des œufs de
Roucool ou de Piafabec.",Abo,Pokémon Serpent
23,"Abo s’enroule en spirale pour dormir. Sa tête reste relevée
de telle sorte que cette position lui permette de réagir
rapidement si une menace survenait.",Abo,Pokémon Serpent
23,"Il peut se déboîter la mâchoire pour avaler
tout rond des proies plus grosses que lui.
Il se replie ensuite sur lui-même pour digérer.",Abo,Pokémon Serpent
23,"Il aime tout particulièrement les œufs des
Pokémon oiseaux. Comme il les avale d’un coup,
il lui arrive de s’étouffer et de s’évanouir.",Abo,Pokémon Serpent
23,"Plus il est âgé, plus son corps est long.
La nuit, il s’enroule autour de branches d’arbres
pour se reposer.",Abo,Pokémon Serpent
24,"Il utilise la marque sur son ventre
pour intimider l’ennemi. Il étouffe
l’ennemi pétrifié par la peur.",Arbok,Pokémon Cobra
24,"Les motifs sur son corps ressemblent à un visage
menaçant. Les adversaires les plus craintifs fuient à la
seule vue de ce Pokémon.",Arbok,Pokémon Cobra
24,"Pour apeurer ses ennemis, il gonfle sa poitrine et
émet d’étranges sons avec sa bouche.",Arbok,Pokémon Cobra
24,"Ce Pokémon doté d’une force extraordinaire peut étrangler
ses proies avec son corps. Il peut même écraser des tonneaux
métalliques. Une fois sous l’étreinte d’Arbok, il est impossible
de lui échapper.",Arbok,Pokémon Cobra
24,"Une étude récente aurait recensé plus de vingt
motifs différents pouvant orner le devant du
capuchon des Arbok.",Arbok,Pokémon Cobra
24,"Il intimide sa proie grâce au motif situé sur
le devant de son capuchon, puis l’enserre
jusqu’à ce que son cœur cesse de battre.",Arbok,Pokémon Cobra
24,"Des études ont révélé que les marques
effrayantes de son corps pouvaient former
six motifs différents.",Arbok,Pokémon Cobra
25,"Il lui arrive de remettre d’aplomb
un Pikachu allié en lui envoyant
une décharge électrique.",Pikachu,Pokémon Souris
25,"Il élève sa queue pour surveiller les environs.
Elle attire souvent la foudre dans cette position.",Pikachu,Pokémon Souris
25,"Pikachu a de petites poches pleines d’électricité sur
ses joues. S’il se sent menacé, il laisse s’échapper
des décharges électriques.",Pikachu,Pokémon Souris
25,"Chaque fois que Pikachu découvre quelque chose de
nouveau, il envoie un arc électrique. Lorsqu’on tombe
sur une Baie carbonisée, ça signifie sans doute qu’un
de ces Pokémon a envoyé une charge trop forte.",Pikachu,Pokémon Souris
25,"Ce Pokémon dispose de petites poches dans les joues pour
stocker de l’électricité. Elles semblent se charger pendant
que Pikachu dort. Il libère parfois un peu d’électricité
lorsqu’il n’est pas encore bien réveillé.",Pikachu,Pokémon Souris
25,"Un projet de centrale électrique fonctionnant
en rassemblant une foule de Pikachu a été
récemment annoncé.",Pikachu,Pokémon Souris
25,"Un Pokémon capable de condenser l’électricité.
Il doit décharger l’énergie accumulée de temps
en temps au risque d’accroître son stress.",Pikachu,Pokémon Souris
25,"Son corps peut accumuler de l’électricité.
Les forêts abritant des groupes de Pikachu
sont d’ailleurs souvent frappées par la foudre.",Pikachu,Pokémon Souris
25,"Quand il dort, il génère de l’électricité dans les
poches de ses joues. S’il manque de sommeil,
il ne peut plus émettre qu’un faible courant.",Pikachu,Pokémon Souris
25,"Ce Pokémon des bois accumule de l’électricité
dans les poches de ses joues. Il ne faut pas les
toucher sous peine de recevoir une décharge.",Pikachu,Pokémon Souris
25,"Plus la puissance électrique de Pikachu est élevée,
plus les poches de ses joues sont extensibles.",Pikachu,Pokémon Souris
25,"Les Pikachu se disent bonjour en se frottant
la queue et en y faisant passer du courant
électrique.",Pikachu,Pokémon Souris
26,"Il se protège des décharges grâce
à sa queue qui dissipe l’électricité
dans le sol.",Raichu,Pokémon Souris
26,"Quand il se charge en électricité, ses muscles se
contractent et il devient plus agressif.",Raichu,Pokémon Souris
26,"Il peut terrasser des ennemis bien plus imposants en
libérant une décharge de 100 000 V.",Raichu,Pokémon Souris
26,"Si ses joues contiennent trop d’électricité, Raichu plante
sa queue dans le sol pour se décharger. On trouve des
parcelles de terre brûlée à proximité du nid de ce Pokémon.",Raichu,Pokémon Souris
26,"Ce Pokémon libère un faible champ électrique tout autour
de son corps, ce qui le rend légèrement lumineux dans le noir.
Raichu plante sa queue dans le sol pour évacuer de
l’électricité.",Raichu,Pokémon Souris
